TimeStamp,TravelTime,MAC
1683154005,232,70:3f:2f:d8:1a:1d
1683154018,278,09:6c:4c:80:42:da
1683154049,283,fc:45:c3:f9:40:4d
1683154036,300,90:f1:57:cd:3c:93
1683154033,296,ec:2e:98:4f:26:6a
1683154040,282,68:5a:1b:bb:54:9c
1683154041,284,4d:1d:8d:d0:4f:d2
1683154053,258,4b:78:58:4a:a6:d1
1683154046,250,42:21:8d:07:b7:83
1683154046,250,6e:aa:dd:ea:26:5e
1683154046,250,15:ac:68:ad:6e:fa
1683154046,252,75:6e:8b:1f:ed:a3
1683154046,250,57:01:94:30:65:3c
1683154069,278,43:20:1b:0a:5e:f1
1683154069,278,f0:5e:cd:d9:b6:2e
1683154064,264,32:62:85:0a:d2:cf
1683154064,258,4f:ae:32:c4:f4:40
1683154069,278,d7:67:de:28:7d:34
1683154069,282,28:7d:06:5e:04:e8
1683154110,282,68:14:c8:90:33:a6
1683154101,280,60:95:8e:1b:82:1e
1683154098,261,dc:ef:ca:91:f7:6b
1683154106,246,39:a6:ae:3c:0c:20
1683154114,282,fb:58:ab:64:66:5c
1683154107,246,42:3f:4c:67:9c:ea
1683154114,282,3e:d8:7f:6c:07:db
1683154155,323,45:26:49:d5:63:47
1683154111,281,10:4e:89:1a:02:80
1683154113,281,51:42:23:d6:3e:ed
1683154120,267,76:ca:fd:6d:53:d0
1683154117,229,61:21:05:fd:b3:89
1683154120,267,27:26:f9:da:1d:5b
1683154118,230,41:08:da:72:56:89
1683154120,267,75:27:c4:90:af:f7
1683154140,448,2a:d2:b5:b6:47:e5
1683154140,448,79:9a:5b:a0:10:56
1683154200,291,00:17:1a:b3:c1:4f
1683154173,259,6e:be:d5:54:ed:05
1683154199,293,00:1e:c0:41:f7:cb
1683154196,235,50:f0:86:7b:e6:25
1683154235,286,4a:34:55:d4:9e:22
1683154234,297,54:8d:43:a5:1a:e4
1683154234,298,3c:68:16:2e:86:43
1683154234,297,6d:57:f5:14:26:46
1683154240,240,54:5a:2d:cc:c1:5d
1683154240,240,5f:29:a7:0b:00:b3
1683154244,245,6a:97:4b:24:10:ab
1683154255,279,24:a8:7d:2d:fa:61
1683154257,278,cc:c9:e3:8d:50:ec
1683154270,299,46:ef:40:a5:5d:27
1683154279,293,23:f8:a8:56:f5:96
1683154276,305,5a:37:48:d6:b1:fa
1683154319,513,3c:68:16:04:41:b2
1683154272,306,4b:ed:c7:0b:4e:0e
1683154271,304,6b:6d:1a:c5:c4:4e
1683154280,280,65:44:3e:48:3b:31
1683154292,246,58:45:6b:65:c3:cb
1683154325,288,c4:a8:28:10:85:3d
1683154293,245,5b:af:7a:7c:4c:b7
1683154305,260,6e:8b:4e:92:b1:a4
1683154299,236,7a:ed:85:69:e2:8e
1683154304,259,69:65:c1:5b:3c:c0
1683154304,258,4d:bb:9c:be:e0:ab
1683154313,247,74:46:b3:a6:a6:1a
1683154305,239,78:a5:11:a2:a4:81
1683154305,259,6e:9a:ee:7a:a7:db
1683154305,259,4b:6a:25:e4:47:b3
1683154312,248,43:9d:90:96:d7:e3
1683154314,220,74:8c:88:58:68:3e
1683154328,290,10:4e:89:9c:2f:e6
1683154324,301,f6:3b:01:d5:de:f7
1683154330,290,67:cf:6e:54:52:fb
1683154322,303,00:25:ca:58:6f:50
1683154360,306,11:04:5a:91:64:68
1683154360,306,51:e4:76:08:78:66
1683154361,301,3c:68:16:02:d3:55
1683154364,291,74:61:52:17:d7:e1
1683154362,296,75:af:56:4c:b1:2c
1683154359,293,40:7e:fb:e4:84:db
1683154361,299,80:ea:ca:33:17:78
1683154366,234,b0:de:28:1b:7b:32
1683154362,229,2e:e1:e7:2a:d7:36
1683154363,234,44:dc:bf:48:ff:ee
1683154364,231,55:ab:0f:8f:6a:04
1683154364,231,40:39:cc:ff:b6:4f
1683154364,231,50:64:9e:9f:53:86
1683154364,231,52:8c:08:b2:62:91
1683154365,289,41:42:00:00:00:eb
1683154369,251,52:fb:c2:05:25:1d
1683154369,252,48:a5:12:e5:0f:88
1683154374,257,18:7f:14:d5:ff:47
1683154369,251,6e:ed:b9:9c:95:11
1683154383,223,66:ca:64:9f:52:4d
1683154377,228,7d:84:c6:f9:9c:c9
1683154378,257,ed:7d:01:be:da:cc
1683154390,777,58:87:a4:7b:a5:97
1683154390,776,5a:c1:85:2b:45:79
1683154391,778,5f:b5:ea:84:0e:60
1683154410,236,47:2e:0a:d8:f4:3e
1683154410,235,7d:5e:33:4f:c0:cf
1683154420,244,60:2c:b1:26:7d:5f
1683154419,246,4a:a6:f5:36:15:dc
1683154452,288,00:25:ca:43:62:4a
1683154491,299,7b:9b:1e:d3:2a:ca
1683154470,266,55:b6:24:9c:7b:b3
1683154469,268,61:e2:90:60:31:ac
1683154484,247,54:70:84:02:6a:20
1683154487,263,74:47:3f:fe:2f:8b
1683154490,296,61:57:3c:50:77:6f
1683154529,255,4f:bb:30:a5:a6:43
1683154532,1262,f6:3b:01:dd:b8:25
1683154529,255,74:07:c4:a4:2f:4f
1683154557,239,69:46:4d:ef:cf:7e
1683154564,254,7f:ef:6e:1d:3f:43
1683154566,252,27:80:4f:72:a0:c9
1683154566,305,40:58:d0:8c:36:25
1683154567,253,76:55:df:80:87:73
1683154625,288,00:25:52:d7:c9:3c
1683154609,289,4b:e8:86:f1:ba:c7
1683154599,252,84:ee:03:ed:74:1a
1683154603,283,00:25:ca:6c:e3:5a
1683154614,290,38:d0:d6:a6:13:0b
1683154621,294,4a:da:02:1d:f6:c1
1683154619,235,6f:8c:56:02:d9:a5
1683154619,236,50:4b:03:0c:6f:43
1683154623,287,44:71:5b:40:86:52
1683154617,229,34:81:f4:cc:9d:ff
1683154617,260,41:42:9d:2b:53:bb
1683154619,291,00:25:ca:35:ac:e8
1683154624,287,6f:c6:1f:b0:64:ed
1683154670,288,79:2d:ac:1c:94:7e
1683154666,289,45:04:5d:0c:e5:e4
1683154670,291,7f:7c:37:c7:62:a6
1683154789,443,3c:68:16:10:0f:87
1683154841,496,45:48:bd:7c:ad:1a
1683154701,270,52:a9:79:4f:f5:02
1683154701,270,78:e9:35:75:c6:c3
1683154722,281,51:ad:dd:71:9d:96
1683154702,271,54:f6:00:fa:f0:c1
1683154725,285,45:d2:c2:4f:91:49
1683154726,285,5d:e4:59:10:bd:17
1683154725,285,f4:f8:1c:5b:e8:f0
1683154759,320,77:25:1a:02:0e:45
1683154761,285,cc:03:7b:55:13:dd
1683154760,320,16:9a:ab:76:b6:95
1683154753,240,5b:82:cb:c9:4a:3b
1683154753,240,02:b8:ca:55:7d:9c
