TimeStamp,TravelTime,MAC
1683154201,252,23:e1:4b:17:7a:c8
1683154198,248,48:b7:a6:e1:30:63
1683154199,249,0e:8f:78:f5:72:62
1683154277,308,41:c5:1f:82:fa:bc
1683154246,265,78:0e:8b:40:38:6f
1683154336,317,7f:de:73:66:04:fa
1683154327,314,00:25:ca:61:22:ae
1683154337,317,00:04:4b:c2:b9:ae
1683154308,273,31:c3:c7:1f:f0:85
1683154308,273,b0:b1:13:86:cc:1e
1683154307,268,a0:98:66:0e:15:47
1683154308,273,6c:4d:0a:f0:90:37
1683154289,246,74:f0:f3:74:ca:34
1683154289,240,21:b9:5c:ea:14:1d
1683154329,262,00:25:ca:2e:bc:0c
1683154339,265,00:25:ca:54:2b:62
1683154379,293,10:4e:89:3f:57:d2
1683154389,298,18:93:d7:6e:da:5b
1683154327,248,5f:5f:e4:d4:e2:c3
1683154367,264,75:ff:4e:27:77:bc
1683154367,258,49:50:a2:0e:44:23
1683154422,313,6f:30:06:6c:5a:8c
1683154364,251,26:11:4a:e6:5d:77
1683154426,287,6f:31:ae:91:5b:f5
1683154391,261,68:ea:45:72:76:63
1683154390,261,7b:a6:9e:a4:c1:85
1683154387,248,7d:d9:6a:63:c3:f5
1683154400,235,53:20:74:35:c5:df
1683154464,291,19:04:1b:c9:11:ad
1683154464,291,46:98:22:47:a4:41
1683154482,292,10:4e:89:0f:57:98
1683154430,241,62:66:e2:d9:a9:15
1683154430,241,0b:4c:bc:17:2a:95
1683154457,257,6c:c3:c7:6b:4a:81
1683154450,241,6f:45:98:09:de:a9
1683154459,260,5d:ff:79:91:29:33
1683154457,258,2f:2f:27:6b:ae:f1
1683154457,257,3f:10:58:73:ee:1e
1683154459,259,68:c5:c7:ac:a7:80
1683154450,245,17:fc:0a:90:82:4f
1683154451,246,7c:b8:f1:60:9f:49
1683154521,289,67:ab:23:79:75:e1
1683154521,289,3c:68:16:33:0f:99
1683154525,294,80:c5:f2:2f:0f:6c
1683154521,290,67:9a:c6:0a:f6:c9
1683154478,245,18:20:11:ea:0c:10
1683154533,297,69:34:d6:29:f0:02
1683154486,250,08:6b:d7:f3:dd:45
1683154532,296,24:a9:b1:1c:88:ef
1683154547,278,74:e5:1e:4f:32:f3
1683154549,275,3c:68:16:34:49:ab
1683154547,286,0b:09:04:e4:26:77
1683154546,284,34:81:f4:35:b8:32
1683154577,264,53:24:41:c1:01:64
1683154512,249,65:e4:af:14:43:4c
1683154512,249,48:23:35:01:02:e5
1683154512,249,f0:5e:cd:1d:5f:51
1683154512,249,7b:6e:0c:4c:8c:c1
1683154497,233,6d:86:a0:75:1d:9b
1683154527,248,5f:51:4f:ec:1c:51
1683154527,248,41:62:b8:f7:c1:6d
1683154527,248,78:b4:bc:e0:16:d0
1683154527,248,26:84:49:bc:99:0a
1683154527,238,5a:12:44:73:16:5f
1683154557,258,7b:41:79:e1:ea:ff
1683154536,237,49:aa:1d:83:7b:0f
1683154535,235,17:56:ea:30:28:64
1683154536,237,69:a5:a3:d0:69:0b
1683154536,237,5f:a5:96:33:6b:e0
1683154557,258,37:5c:eb:01:dd:3b
1683154557,258,76:19:cd:d6:7d:18
1683154556,257,50:29:59:94:d5:e6
1683154557,258,64:f2:96:26:5e:84
1683154537,238,49:a4:3c:b4:bd:77
1683154536,237,53:64:93:13:72:b3
1683154535,236,72:1d:0c:15:04:0d
1683154529,218,f6:3b:01:24:15:0f
1683154566,251,70:e8:1d:bc:12:d9
1683154579,259,1b:dd:53:7d:88:b1
1683154671,330,3a:4d:ab:5d:0c:d2
1683154661,324,00:e9:3a:35:b8:ec
1683154670,329,74:5a:71:21:da:06
1683154587,248,7d:03:90:ca:bd:d4
1683154662,311,75:dc:92:0f:78:cf
1683154659,314,00:25:ca:51:10:4a
1683154644,297,50:33:8b:21:07:fc
1683154664,313,0c:7b:73:2a:cb:1b
1683154624,262,08:3b:69:e2:c8:e2
1683154621,262,72:c4:cb:7b:81:23
1683154622,261,6b:91:a4:c2:cd:ed
1683154678,309,45:f1:61:d4:40:70
1683154621,262,1b:92:6c:25:c1:27
1683154621,261,60:b9:68:0b:dc:41
1683154622,260,f4:17:3d:ab:70:b0
1683154655,289,32:88:72:85:c3:ae
